Date,Temperature,Ice Cream
1,20,121
2,21,130
3,22,150
4,23,155
5,24,166
6,25,172
7,26,187
8,27,199
9,28,203
10,29,208
11,30,210
12,20,120
13,21,135
14,22,145
15,23,151
16,24,168
17,25,170
18,26,183
19,27,190
20,28,200
21,29,207
22,30,215
23,20,127
24,21,131
25,22,147
26,23,155
27,24,165
28,25,174
29,26,189
30,27,193
31,28,205
32,29,206
33,30,214
34,20,130
35,21,134
36,22,149
37,23,150
38,24,165
39,25,174
40,26,180
41,27,193
42,28,202
43,29,207
44,30,212
45,20,125
46,21,134
47,22,144
48,23,153
49,24,169
50,25,179
51,26,188
52,27,195
53,28,205
54,29,205
55,30,211
56,20,129
57,21,134
58,22,146
59,23,150
60,24,162
